country	country_code	continent	population	indicator	weekly_count	year_week	rate_14_day	cumulative_count	source	note	meta_extracted_date
Eritrea	ERI	Africa	3546427	deaths	0.0	2022-20	0.0	103	Epidemic intelligence national data		2022-05-29
Estonia	EST	Europe	1330068	cases	953.0	2022-20	159.841451715251	561012	TESSy COVID-19		2022-05-29
Estonia	EST	Europe	1330068	deaths	5.0	2022-20	6.01473007395111	2440	TESSy COVID-19		2022-05-29
Eswatini	SWZ	Africa	1160164	cases	445.0	2022-20	90.3320565023566	72150	Epidemic intelligence national data		2022-05-29
Eswatini	SWZ	Africa	1160164	deaths	1.0	2022-20	3.44778841612048	1404	Epidemic intelligence national data		2022-05-29
Ethiopia	ETH	Africa	114963583	cases	424.0	2022-20	0.550609143766857	471373	Epidemic intelligence national data		2022-05-29
Ethiopia	ETH	Africa	114963583	deaths	2.0	2022-20	0.0173968133891582	7512	Epidemic intelligence national data		2022-05-29
EU/EEA (total)		Europe	453017979	cases	1002530.0	2022-20	514.600768196001	142950094	Epidemic intelligence national data and TESSy COVID-19		2022-05-29
EU/EEA (total)		Europe	453017979	deaths	2391.0	2022-20	12.5778672461916	1100336	Epidemic intelligence national data and TESSy COVID-19		2022-05-29
Europe (total)		Europe	851549891	cases	1086190.0	2022-20	300.663417030489	215253258	Epidemic intelligence national data		2022-05-29
Europe (total)		Europe	851549891	deaths	3627.0	2022-20	10.4667971826445	1982201	Epidemic intelligence national data		2022-05-29
Falkland Islands (Malvinas)	FLK	America	3483	cases	0.0	2022-20	21073.7869652598	1126	Epidemic intelligence national data		2022-05-29
Falkland Islands (Malvinas)	FLK	America	3483	deaths	0.0	2022-20	0.0	0	Epidemic intelligence national data		2022-05-29
Faroe Islands	FRO	Europe	48865	cases	0.0	2022-20	0.0	34658	Epidemic intelligence national data		2022-05-29
Faroe Islands	FRO	Europe	48865	deaths	0.0	2022-20	0.0	28	Epidemic intelligence national data		2022-05-29
Fiji	FJI	Oceania	896444	cases	86.0	2022-20	19.2984726318655	64898	Epidemic intelligence national data		2022-05-29
Fiji	FJI	Oceania	896444	deaths	0.0	2022-20	0.0	862	Epidemic intelligence national data		2022-05-29
Finland	FIN	Europe	5533793	cases	9792.0	2022-20	404.857933789717	1079694	TESSy COVID-19		2022-05-29
Finland	FIN	Europe	5533793	deaths	28.0	2022-20	23.8534401268714	5855	TESSy COVID-19		2022-05-29
France	FRA	Europe	67656682	cases	174715.0	2022-20	599.936307843178	29375885	TESSy COVID-19		2022-05-29
France	FRA	Europe	67656682	deaths	487.0	2022-20	16.5098252970786	161827	TESSy COVID-19		2022-05-29
French Polynesia	PYF	Oceania	280904	cases	40.0	2022-20	32.0394156010594	72876	Epidemic intelligence national data		2022-05-29
French Polynesia	PYF	Oceania	280904	deaths	0.0	2022-20	3.55993506678438	649	Epidemic intelligence national data		2022-05-29
